vendor_id,is_anomaly,anomaly_type,severity,expired_certifications,explanation
V0296,True,ELEVATED_RISK_VENDOR,LOW,,Risk score 70/100 warrants increased monitoring.
V0297,True,EXPIRED_CERTIFICATION,MEDIUM,SOC2,Certification(s) SOC2 expired.
V0298,True,EXPIRED_CERTIFICATION,HIGH,PCI-DSS,Certification(s) PCI-DSS expired on a vendor with Financial data access.
V0299,True,ELEVATED_RISK_VENDOR,LOW,,Risk score 72/100 warrants increased monitoring.
V0300,False,,,,
V0301,True,EXPIRED_CERTIFICATION,HIGH,PCI-DSS,Certification(s) PCI-DSS expired on a vendor with Financial data access.
V0302,True,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,SOC2,Breached in last 12 months and holds Customer PII.
V0303,True,EXPIRED_CERTIFICATION,HIGH,PCI-DSS;SOC2,Certification(s) PCI-DSS;SOC2 expired on a vendor with Customer PII access.
V0304,True,EXPIRED_CERTIFICATION,HIGH,ISO27001,Certification(s) ISO27001 expired on a vendor with Financial data access.
V0305,True,EXPIRED_CERTIFICATION,MEDIUM,ISO27001,Certification(s) ISO27001 expired.
V0306,True,EXPIRED_CERTIFICATION,HIGH,PCI-DSS;ISO27001,Certification(s) PCI-DSS;ISO27001 expired on a vendor with Financial data access.
V0307,True,EXPIRED_CERTIFICATION,MEDIUM,SOC2,Certification(s) SOC2 expired.
V0308,True,ELEVATED_RISK_VENDOR,LOW,,Risk score 70/100 warrants increased monitoring.
V0309,True,EXPIRED_CERTIFICATION,HIGH,PCI-DSS;ISO27001,Certification(s) PCI-DSS;ISO27001 expired on a vendor with Financial data access.
V0310,True,EXPIRED_CERTIFICATION,HIGH,ISO27001;PCI-DSS,Certification(s) ISO27001;PCI-DSS expired on a vendor with Customer PII access.
V0311,True,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,ISO27001;PCI-DSS,Breached in last 12 months and holds Customer PII.
V0312,False,,,,
V0313,True,EXPIRED_CERTIFICATION,MEDIUM,ISO27001,Certification(s) ISO27001 expired.
V0314,True,EXPIRED_CERTIFICATION,MEDIUM,ISO27001,Certification(s) ISO27001 expired.
V0315,True,EXPIRED_CERTIFICATION,MEDIUM,SOC2,Certification(s) SOC2 expired.
V0316,True,VENDOR_UNDER_INVESTIGATION,CRITICAL,SOC2,Vendor is currently under an active security investigation.
V0317,True,EXPIRED_CERTIFICATION,MEDIUM,PCI-DSS,Certification(s) PCI-DSS expired.
V0318,False,,,,
V0319,True,EXPIRED_CERTIFICATION,MEDIUM,ISO27001;PCI-DSS,Certification(s) ISO27001;PCI-DSS expired.
V0320,True,EXPIRED_CERTIFICATION,MEDIUM,SOC2;ISO27001,Certification(s) SOC2;ISO27001 expired.
V0321,True,EXPIRED_CERTIFICATION,MEDIUM,PCI-DSS,Certification(s) PCI-DSS expired.
V0322,True,ELEVATED_RISK_VENDOR,LOW,,Risk score 68/100 warrants increased monitoring.
V0323,False,,,,
V0324,True,EXPIRED_CERTIFICATION,MEDIUM,ISO27001;PCI-DSS,Certification(s) ISO27001;PCI-DSS expired.
V0325,True,EXPIRED_CERTIFICATION,HIGH,SOC2,Certification(s) SOC2 expired on a vendor with Financial data access.
V0326,False,,,,
V0327,True,EXPIRED_CERTIFICATION,HIGH,ISO27001;SOC2,Certification(s) ISO27001;SOC2 expired on a vendor with Financial data access.
V0328,True,EXPIRED_CERTIFICATION,MEDIUM,PCI-DSS;SOC2,Certification(s) PCI-DSS;SOC2 expired.
V0329,True,EXPIRED_CERTIFICATION,HIGH,PCI-DSS,Certification(s) PCI-DSS expired on a vendor with Customer PII access.
V0330,True,EXPIRED_CERTIFICATION,MEDIUM,PCI-DSS,Certification(s) PCI-DSS expired.
V0331,True,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,,Breached in last 12 months and holds Financial data.
V0332,True,EXPIRED_CERTIFICATION,MEDIUM,SOC2;PCI-DSS,Certification(s) SOC2;PCI-DSS expired.
V0333,False,,,,
V0334,True,VENDOR_UNDER_INVESTIGATION,CRITICAL,SOC2,Vendor is currently under an active security investigation.
V0335,True,ELEVATED_RISK_VENDOR,LOW,,Risk score 74/100 warrants increased monitoring.
V0336,False,,,,
V0337,True,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,SOC2,Breached in last 12 months and holds Customer PII.
V0338,True,CONTRACT_EXPIRED_ACTIVE_ACCESS,MEDIUM,,Contract has ended but access may still be active (orphaned access).
V0339,False,,,,
V0340,True,EXPIRED_CERTIFICATION,HIGH,SOC2;ISO27001,Certification(s) SOC2;ISO27001 expired on a vendor with Customer PII access.
V0341,True,EXPIRED_CERTIFICATION,HIGH,SOC2;ISO27001,Certification(s) SOC2;ISO27001 expired on a vendor with Customer PII access.
V0342,False,,,,
V0343,True,EXPIRED_CERTIFICATION,HIGH,SOC2,Certification(s) SOC2 expired on a vendor with Financial data access.
V0344,True,EXPIRED_CERTIFICATION,HIGH,ISO27001,Certification(s) ISO27001 expired on a vendor with Customer PII access.
V0345,True,HIGH_RISK_SCORE,HIGH,PCI-DSS;SOC2,Risk score 89/100 exceeds the 80 threshold.
V0346,True,EXPIRED_CERTIFICATION,MEDIUM,ISO27001;PCI-DSS,Certification(s) ISO27001;PCI-DSS expired.
V0347,True,EXPIRED_CERTIFICATION,MEDIUM,PCI-DSS,Certification(s) PCI-DSS expired.
V0348,True,EXPIRED_CERTIFICATION,MEDIUM,PCI-DSS,Certification(s) PCI-DSS expired.
V0349,True,EXPIRED_CERTIFICATION,HIGH,ISO27001,Certification(s) ISO27001 expired on a vendor with Financial data access.
V0350,True,HIGH_RISK_SCORE,HIGH,PCI-DSS,Risk score 94/100 exceeds the 80 threshold.
V0351,True,EXPIRED_CERTIFICATION,HIGH,PCI-DSS,Certification(s) PCI-DSS expired on a vendor with Customer PII access.
V0352,True,EXPIRED_CERTIFICATION,HIGH,ISO27001;SOC2,Certification(s) ISO27001;SOC2 expired on a vendor with Customer PII access.
V0353,True,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,ISO27001;PCI-DSS,Breached in last 12 months and holds Customer PII.
V0354,True,EXPIRED_CERTIFICATION,MEDIUM,SOC2;PCI-DSS,Certification(s) SOC2;PCI-DSS expired.
V0355,True,EXPIRED_CERTIFICATION,MEDIUM,ISO27001;PCI-DSS,Certification(s) ISO27001;PCI-DSS expired.
V0356,True,EXPIRED_CERTIFICATION,HIGH,SOC2;ISO27001,Certification(s) SOC2;ISO27001 expired on a vendor with Financial data access.
V0357,True,ELEVATED_RISK_VENDOR,LOW,,Risk score 79/100 warrants increased monitoring.
V0358,True,EXPIRED_CERTIFICATION,HIGH,ISO27001;PCI-DSS,Certification(s) ISO27001;PCI-DSS expired on a vendor with Customer PII access.
V0359,True,EXPIRED_CERTIFICATION,HIGH,SOC2;ISO27001,Certification(s) SOC2;ISO27001 expired on a vendor with Customer PII access.
V0360,False,,,,
V0361,False,,,,
V0362,True,EXPIRED_CERTIFICATION,HIGH,SOC2;PCI-DSS,Certification(s) SOC2;PCI-DSS expired on a vendor with Customer PII access.
V0363,True,HIGH_RISK_SCORE,HIGH,ISO27001,Risk score 95/100 exceeds the 80 threshold.
V0364,True,HIGH_RISK_SCORE,HIGH,PCI-DSS,Risk score 89/100 exceeds the 80 threshold.
V0365,True,EXPIRED_CERTIFICATION,HIGH,PCI-DSS;SOC2,Certification(s) PCI-DSS;SOC2 expired on a vendor with Customer PII access.
V0366,True,EXPIRED_CERTIFICATION,HIGH,ISO27001,Certification(s) ISO27001 expired on a vendor with Financial data access.
V0367,False,,,,
V0368,True,EXPIRED_CERTIFICATION,MEDIUM,PCI-DSS;ISO27001,Certification(s) PCI-DSS;ISO27001 expired.
V0369,True,EXPIRED_CERTIFICATION,HIGH,ISO27001,Certification(s) ISO27001 expired on a vendor with Financial data access.
V0370,True,EXPIRED_CERTIFICATION,MEDIUM,PCI-DSS,Certification(s) PCI-DSS expired.
V0371,True,EXPIRED_CERTIFICATION,HIGH,SOC2;ISO27001,Certification(s) SOC2;ISO27001 expired on a vendor with Financial data access.
V0372,True,ELEVATED_RISK_VENDOR,LOW,,Risk score 66/100 warrants increased monitoring.
V0373,True,EXPIRED_CERTIFICATION,HIGH,PCI-DSS,Certification(s) PCI-DSS expired on a vendor with Customer PII access.
V0374,True,EXPIRED_CERTIFICATION,HIGH,SOC2;ISO27001,Certification(s) SOC2;ISO27001 expired on a vendor with Customer PII access.
V0375,True,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,ISO27001,Breached in last 12 months and holds Financial data.
V0376,True,EXPIRED_CERTIFICATION,MEDIUM,SOC2,Certification(s) SOC2 expired.
V0377,True,EXPIRED_CERTIFICATION,HIGH,SOC2;ISO27001,Certification(s) SOC2;ISO27001 expired on a vendor with Customer PII access.
V0378,True,HIGH_RISK_SCORE,HIGH,,Risk score 89/100 exceeds the 80 threshold.
V0379,True,CONTRACT_EXPIRED_ACTIVE_ACCESS,MEDIUM,,Contract has ended but access may still be active (orphaned access).
V0380,False,,,,
V0381,True,HIGH_RISK_SCORE,HIGH,SOC2;ISO27001,Risk score 99/100 exceeds the 80 threshold.
V0382,True,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,,Breached in last 12 months and holds Customer PII.
V0383,True,EXPIRED_CERTIFICATION,MEDIUM,ISO27001;PCI-DSS,Certification(s) ISO27001;PCI-DSS expired.
V0384,True,EXPIRED_CERTIFICATION,MEDIUM,SOC2,Certification(s) SOC2 expired.
V0385,True,ELEVATED_RISK_VENDOR,LOW,,Risk score 68/100 warrants increased monitoring.
V0386,True,EXPIRED_CERTIFICATION,MEDIUM,SOC2,Certification(s) SOC2 expired.
V0387,True,HIGH_RISK_SCORE,HIGH,,Risk score 86/100 exceeds the 80 threshold.
V0388,True,CONTRACT_EXPIRED_ACTIVE_ACCESS,MEDIUM,,Contract has ended but access may still be active (orphaned access).
V0389,True,ELEVATED_RISK_VENDOR,LOW,,Risk score 72/100 warrants increased monitoring.
V0390,True,EXPIRED_CERTIFICATION,MEDIUM,PCI-DSS,Certification(s) PCI-DSS expired.
V0391,True,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,ISO27001,Breached in last 12 months and holds Customer PII.
V0392,True,EXPIRED_CERTIFICATION,HIGH,ISO27001,Certification(s) ISO27001 expired on a vendor with Customer PII access.
V0393,True,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,SOC2,Breached in last 12 months and holds Customer PII.
V0394,False,,,,
V0395,True,EXPIRED_CERTIFICATION,MEDIUM,PCI-DSS;SOC2,Certification(s) PCI-DSS;SOC2 expired.
V0396,True,HIGH_RISK_SCORE,HIGH,,Risk score 87/100 exceeds the 80 threshold.
V0397,False,,,,
V0398,True,RECENTLY_BREACHED_VENDOR,MEDIUM,,Breached in last 12 months (limited data access).
V0399,True,EXPIRED_CERTIFICATION,HIGH,PCI-DSS,Certification(s) PCI-DSS expired on a vendor with Financial data access.
V0400,True,EXPIRED_CERTIFICATION,MEDIUM,PCI-DSS;ISO27001,Certification(s) PCI-DSS;ISO27001 expired.
